,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,# of Ranked Counties,Length of Life Rank,Length_of_Life_Quartile,Quality_of_Life_Rank,Quality_of_Life_Quartile,Health_Behaviors_Rank,Health_Behaviors_Quartile,Clinical_Care_Rank,Clinical Care Quartile,Socioeconomic_Factors_Rank,Socioeconomic_Factors_Quartile,Physical_Environment_Rank,Physical_Environment_Quartile,%Some_College,%Long_Commute,Household_Income,%Not_Proficient_in_English,Population
01001,Alabama,Autauga,67,18,2,6,1,7,1,11,1,4,1,47,3,56.5,42,54366,0.5,55395
01003,Alabama,Baldwin,67,4,1,2,1,2,1,9,1,5,1,64,4,62.3,37,49626,1.4,200111
01005,Alabama,Barbour,67,10,1,46,3,57,4,25,2,56,4,48,3,43.4,35,34971,2.2,26887
01007,Alabama,Bibb,67,44,3,41,3,46,3,29,2,25,2,25,2,48.9,46,39546,0.5,22506
01009,Alabama,Blount,67,12,1,7,1,9,1,39,3,13,1,19,2,49.1,59,45567,1.8,57719
01011,Alabama,Bullock,67,30,2,56,4,63,4,41,3,62,4,13,1,34.5,47,26580,2.6,10764
01013,Alabama,Butler,67,48,3,52,4,54,4,50,3,58,4,62,4,43.7,35,32512,0.4,20296
01015,Alabama,Calhoun,67,35,3,29,2,51,4,30,2,31,2,27,2,53.7,29,41123,0.8,115916
01017,Alabama,Chambers,67,55,4,50,3,53,4,33,2,40,3,49,3,47.7,36,34116,0.2,34076
01019,Alabama,Cherokee,67,56,4,15,1,17,1,36,3,22,2,36,3,54.4,44,38013,0.1,26037
01021,Alabama,Chilton,67,40,3,18,2,45,3,45,3,32,2,40,3,39.4,49,41450,2.8,43931
01023,Alabama,Choctaw,67,63,4,39,3,28,2,28,2,50,3,51,4,49.1,42,35049,0.0,13323
01025,Alabama,Clarke,67,32,2,55,4,40,3,31,2,59,4,59,4,42.1,30,36620,0.2,24945
01027,Alabama,Clay,67,9,1,45,3,43,3,63,4,29,2,39,3,42.8,37,35940,0.9,13552
01029,Alabama,Cleburne,67,41,3,5,1,13,1,54,4,15,1,45,3,49.5,50,40418,0.1,15080
01031,Alabama,Coffee,67,3,1,16,1,12,1,21,2,6,1,29,2,59.5,24,46931,2.2,50909
01033,Alabama,Colbert,67,29,2,31,2,14,1,8,1,16,1,26,2,57.0,26,43057,0.4,54543
01035,Alabama,Conecuh,67,54,4,64,4,58,4,67,4,60,4,65,4,37.5,41,29101,0.3,12670
01037,Alabama,Coosa,67,34,2,49,3,49,3,43,3,53,4,41,3,41.4,41,34679,0.7,10886
01039,Alabama,Covington,67,21,2,30,2,29,2,55,4,27,2,14,1,52.0,26,36149,0.7,37914
01041,Alabama,Crenshaw,67,16,1,23,2,36,3,48,3,20,2,15,1,42.0,45,34445,0.9,13977
01043,Alabama,Cullman,67,20,2,14,1,25,2,17,1,8,1,12,1,57.2,34,39922,1.0,81289
01045,Alabama,Dale,67,8,1,13,1,33,2,19,2,23,2,4,1,61.8,25,41940,0.7,49484
01047,Alabama,Dallas,67,60,4,63,4,66,4,13,1,66,4,38,3,42.9,22,26602,0.1,41711
01049,Alabama,DeKalb,67,24,2,24,2,16,1,64,4,38,3,31,2,43.0,29,36241,4.5,71065
01051,Alabama,Elmore,67,7,1,3,1,15,1,10,1,11,1,35,3,54.7,46,54298,0.9,80977
01053,Alabama,Escambia,67,43,3,47,3,59,4,62,4,52,4,58,4,40.3,31,37077,0.2,37733
01055,Alabama,Etowah,67,49,3,32,2,47,3,22,2,28,2,20,2,52.2,27,39904,1.1,103531
01057,Alabama,Fayette,67,36,3,38,3,27,2,51,4,48,3,3,1,45.6,36,35664,0.1,16874
01059,Alabama,Franklin,67,61,4,33,2,26,2,65,4,51,4,1,1,42.5,35,33881,6.5,31601
